Port Adelaide,Port Adelaide,Port Adelaide,Port Adelaide,Brisbane,Richmond,Port Adelaide,Geelong
Brisbane,Geelong,Richmond,Brisbane ,Geelong,Port Adelaide ,Geelong ,Brisbane 
Richmond,Richmond,Geelong,Richmond,Port Adelaide,Geelong ,Richmond,Port Adelaide
Geelong,Western Bulldogs,Brisbane,Geelong,Richmond,West Coast ,Western Bulldogs,Richmond
West Coast,Brisbane,Western Bulldogs,St Kilda,Western Bulldogs,Brisbane ,West Coast,Western Bulldogs
Sydney,St Kilda,West Coast,Western Bulldogs ,Fremantle,Western Bulldogs ,Carlton,West Coast
Western Bulldogs,West Coast,Collingwood,West Coast ,West Coast,St Kilda,Collingwood,St Kilda
St Kilda,Collingwood,St Kilda,Collingwood,Melbourne,Fremantle,Brisbane,Greater Western Sydney
Collingwood,Carlton,Melbourne,Carlton,Collingwood ,Greater Western Sydney ,Melbourne,Collingwood
Fremantle,Melbourne,Fremantle,Greater Western Sydney,Greater Western Sydney  ,Carlton ,St Kilda,Gold Coast
Carlton,Greater Western Sydney,Greater Western Sydney,Gold Coast ,St Kilda,Gold Coast ,Gold Coast ,Melbourne
Melbourne,Fremantle,Essendon,Fremantle,Carlton,Melbourne ,Fremantle,Carlton
Gold Coast,Essendon,Carlton,Melbourne,Gold Coast,Collingwood,Greater Western Sydney,Sydney
Essendon,Sydney,Hawthorn,Essendon ,Sydney,Sydney ,Sydney ,Fremantle
Greater Western Sydney,Gold Coast,Gold Coast,Hawthorn ,Essendon,Essendon ,Essendon ,Essendon
Adelaide,Hawthorn,Sydney,Adelaide,Hawthorn,Adelaide ,Adelaide,Hawthorn
Hawthorn,North Melbourne,Adelaide,Sydney ,Adelaide,Hawthorn,North Melbourne ,Adelaide
North Melbourne,Adelaide,North Melbourne,North Melbourne,North Melbourne,North Melbourne,Hawthorn,North Melbourne
